Stopwords
0,!
1,""""
2,#
3,$
4,%
5,&
6,'
7,(
8,)
9,*
10,+
11,","
12,-
13,--
14,.
15,..
16,...
17,......
18,...................
19,./
20,.一
21,.数
22,.日
23,/
24,//
25,0
26,1
27,2
28,3
29,4
30,5
31,6
32,7
33,8
34,9
35,:
36,://
37,::
38,;
39,<
40,=
41,>
42,>>
43,?
44,@
45,A
46,Lex
47,[
48,\
49,]
50,^
51,_
52,`
53,exp
54,sub
55,sup
56,|
57,}
58,~
59,~~~~
60,·
61,×
62,×××
63,Δ
64,Ψ
65,γ
66,μ
67,φ
68,φ．
69,В
70,—
71,——
72,———
73,‘
74,’
75,’‘
76,“
77,”
78,”，
79,…
80,……
81,…………………………………………………③
82,′∈
83,′｜
84,℃
85,Ⅲ
86,↑
87,→
88,∈［
89,∪φ∈
90,≈
91,①
92,②
93,②ｃ
94,③
95,③］
96,④
97,⑤
98,⑥
99,⑦
100,⑧
101,⑨
102,⑩
103,──
104,■
105,▲
106,　
107,、
108,。
109,〈
110,〉
111,《
112,》
113,》），
114,」
115,『
116,』
117,【
118,】
119,〔
120,〕
121,〕〔
122,㈧
123,一
124,一.
125,一一
126,一下
127,一个
128,一些
129,一何
130,一切
131,一则
132,一则通过
133,一天
134,一定
135,一方面
136,一旦
137,一时
138,一来
139,一样
140,一次
141,一片
142,一番
143,一直
144,一致
145,一般
146,一起
147,一转眼
148,一边
149,一面
150,七
151,万一
152,三
153,三天两头
154,三番两次
155,三番五次
156,上
157,上下
158,上升
159,上去
160,上来
161,上述
162,上面
163,下
164,下列
165,下去
166,下来
167,下面
168,不
169,不一
170,不下
171,不久
172,不了
173,不亦乐乎
174,不仅
175,不仅...而且
176,不仅仅
177,不仅仅是
178,不会
179,不但
180,不但...而且
181,不光
182,不免
183,不再
184,不力
185,不单
186,不变
187,不只
188,不可
189,不可开交
190,不可抗拒
191,不同
192,不外
193,不外乎
194,不够
195,不大
196,不如
197,不妨
198,不定
199,不对
200,不少
201,不尽
202,不尽然
203,不巧
204,不已
205,不常
206,不得
207,不得不
208,不得了
209,不得已
210,不必
211,不怎么
212,不怕
213,不惟
214,不成
215,不拘
216,不择手段
217,不敢
218,不料
219,不断
220,不日
221,不时
222,不是
223,不曾
224,不止
225,不止一次
226,不比
227,不消
228,不满
229,不然
230,不然的话
231,不特
232,不独
233,不由得
234,不知不觉
235,不管
236,不管怎样
237,不经意
238,不胜
239,不能
240,不能不
241,不至于
242,不若
243,不要
244,不论
245,不起
246,不足
247,不过
248,不迭
249,不问
250,不限
251,与
252,与其
253,与其说
254,与否
255,与此同时
256,专门
257,且
258,且不说
259,且说
260,两者
261,严格
262,严重
263,个
264,个人
265,个别
266,中小
267,中间
268,丰富
269,串行
270,临
271,临到
272,为
273,为主
274,为了
275,为什么
276,为什麽
277,为何
278,为止
279,为此
280,为着
